province,census_division,census_subdivision,land_area_km2,population_2006,population_2011,population_2016,population_2021
Alberta,Division No. 10,Edberg,0.35,155.0,168.0,151.0,126.0
Alberta,Division No. 10,Hay Lakes,0.59,362.0,425.0,495.0,456.0
Alberta,Division No. 10,Holden,1.55,398.0,381.0,350.0,338.0
Alberta,Division No. 10,Improvement District No. 13 Elk Island,165.0,21.0,10.0,0.0,0.0
Alberta,Division No. 10,Innisfree,1.0,233.0,220.0,193.0,187.0
Alberta,Division No. 10,Kitscoty,1.51,709.0,846.0,925.0,852.0
Alberta,Division No. 10,Lamont,9.14,1669.0,1753.0,1774.0,1744.0
Alberta,Division No. 10,Lamont County,2385.58,3905.0,3872.0,3884.0,3754.0
Alberta,Division No. 10,Lloydminster (Part),23.98,15910.0,18032.0,19645.0,19739.0
Alberta,Division No. 10,Makaoo (Part) 120,35.93,155.0,180.0,208.0,141.0
Alberta,Division No. 10,Mannville,1.64,782.0,803.0,828.0,765.0
Alberta,Division No. 10,Marwayne,1.6,521.0,612.0,564.0,543.0
Alberta,Division No. 10,Minburn County No. 27,2850.37,3319.0,3278.0,3188.0,3014.0
Alberta,Division No. 10,Mundare,4.12,712.0,855.0,852.0,689.0
Alberta,Division No. 10,Myrnam,2.75,362.0,370.0,339.0,257.0
Alberta,Division No. 10,Paradise Valley,0.63,183.0,174.0,179.0,153.0
Alberta,Division No. 10,Rosalind,0.62,190.0,190.0,188.0,162.0
Alberta,Division No. 10,Ryley,2.53,458.0,497.0,483.0,484.0
Alberta,Division No. 10,Tofield,8.21,1876.0,2182.0,2081.0,2045.0
Alberta,Division No. 10,Two Hills,3.11,1047.0,1379.0,1352.0,1416.0
Alberta,Division No. 10,Two Hills County No. 21,2600.15,2918.0,3160.0,3641.0,3412.0
Alberta,Division No. 10,Vegreville,14.08,5519.0,5717.0,5708.0,5689.0
Alberta,Division No. 10,Vermilion,12.72,4036.0,3930.0,4084.0,3948.0
Alberta,Division No. 10,Vermilion River County,5420.13,7462.0,7905.0,8453.0,7994.0
Alberta,Division No. 10,Viking,3.45,1085.0,1041.0,1083.0,986.0
Alberta,Division No. 11,Alexander 134,68.39,962.0,1027.0,1099.0,1077.0
Alberta,Division No. 11,Argentia Beach,0.62,52.0,15.0,27.0,39.0
Alberta,Division No. 11,Beaumont,24.7,8961.0,13284.0,17457.0,20888.0
Alberta,Division No. 11,Betula Beach,0.23,15.0,10.0,16.0,27.0
Alberta,Division No. 11,Bon Accord,3.99,1534.0,1488.0,1529.0,1461.0
Alberta,Division No. 11,Brazeau County,3000.14,7040.0,7201.0,7771.0,7179.0
Alberta,Division No. 11,Breton,1.72,550.0,496.0,574.0,567.0
Alberta,Division No. 11,Calmar,4.67,1959.0,1970.0,2228.0,2183.0
Alberta,Division No. 11,Crystal Springs,0.45,112.0,90.0,51.0,74.0
Alberta,Division No. 11,Devon,14.26,6261.0,6510.0,6578.0,6545.0
Alberta,Division No. 11,Drayton Valley,30.9,6893.0,7049.0,7235.0,7291.0
Alberta,Division No. 11,Edmonton,765.61,730372.0,812201.0,933088.0,1010899.0
Alberta,Division No. 11,Enoch Cree Nation,51.53,1418.0,987.0,1690.0,1825.0
Alberta,Division No. 11,Ermineskin 138,104.32,1464.0,1874.0,2457.0,2256.0
Alberta,Division No. 11,Fort Saskatchewan,56.5,14957.0,19051.0,24169.0,27088.0
Alberta,Division No. 11,Gibbons,9.46,2642.0,3030.0,3159.0,3218.0
Alberta,Division No. 11,Golden Days,2.13,207.0,141.0,160.0,248.0
Alberta,Division No. 11,Grandview,0.45,127.0,108.0,109.0,143.0
Alberta,Division No. 11,Itaska Beach,0.26,35.0,20.0,23.0,30.0
Alberta,Division No. 11,Kapasiwin,0.33,39.0,10.0,10.0,24.0
Alberta,Division No. 11,Lakeview,0.32,36.0,26.0,30.0,29.0
Alberta,Division No. 11,Leduc,42.25,16967.0,24279.0,29993.0,34094.0
Alberta,Division No. 11,Leduc County,2502.59,13135.0,13541.0,13177.0,14416.0
Alberta,Division No. 11,Legal,3.18,1192.0,1225.0,1345.0,1232.0
Alberta,Division No. 11,Louis Bull 138B,31.68,1180.0,1309.0,1177.0,1321.0
Alberta,Division No. 11,Ma-Me-O Beach,0.56,155.0,113.0,110.0,162.0
Alberta,Division No. 11,Millet,6.62,2068.0,2092.0,1955.0,1890.0
Alberta,Division No. 11,Morinville,11.15,6775.0,8569.0,9848.0,10385.0
Alberta,Division No. 11,Norris Beach,0.19,40.0,46.0,38.0,71.0
Alberta,Division No. 11,Parkland County,2375.67,29220.0,30568.0,32737.0,32205.0
Alberta,Division No. 11,Pigeon Lake 138A,19.81,353.0,485.0,429.0,285.0
Alberta,Division No. 11,Point Alison,0.19,15.0,15.0,10.0,18.0
Alberta,Division No. 11,Poplar Bay,0.71,84.0,80.0,103.0,113.0
Alberta,Division No. 11,Redwater,19.93,2202.0,1915.0,2053.0,2115.0
Alberta,Division No. 11,Seba Beach,0.53,203.0,143.0,169.0,229.0
Alberta,Division No. 11,Silver Beach,0.61,47.0,52.0,65.0,55.0
Alberta,Division No. 11,Spring Lake,2.28,501.0,533.0,699.0,711.0
Alberta,Division No. 11,Spruce Grove,37.52,19541.0,26171.0,34108.0,37645.0
Alberta,Division No. 11,St. Albert,47.84,57764.0,61466.0,65589.0,68232.0
Alberta,Division No. 11,Stony Plain,35.45,12363.0,15051.0,17189.0,17993.0
Alberta,Division No. 11,Strathcona County,1170.65,82511.0,92490.0,98024.0,99225.0
Alberta,Division No. 11,Sturgeon County,2084.24,18566.0,19578.0,20495.0,20061.0
Alberta,Division No. 11,Sundance Beach,0.43,102.0,82.0,73.0,42.0
Alberta,Division No. 11,Thorsby,3.8,945.0,797.0,985.0,967.0
Alberta,Division No. 11,Wabamun 133A,62.33,1088.0,1069.0,1592.0,981.0
Alberta,Division No. 11,Wabamun 133B,1.96,20.0,17.0,30.0,20.0
Alberta,Division No. 11,Warburg,2.56,621.0,789.0,766.0,676.0
Alberta,Division No. 11,Wetaskiwin,18.75,11689.0,12525.0,12655.0,12594.0
Alberta,Division No. 11,Wetaskiwin County No. 10,3121.98,10519.0,10866.0,11176.0,11212.0
Alberta,Division No. 12,Beaver Lake 131,55.88,379.0,423.0,414.0,401.0
Alberta,Division No. 12,Bonnyville,14.17,5832.0,6216.0,5975.0,6404.0
Alberta,Division No. 12,Bonnyville Beach,0.23,97.0,95.0,84.0,70.0
Alberta,Division No. 12,Bonnyville No. 87,6005.3,10194.0,11191.0,12745.0,12897.0
Alberta,Division No. 12,Cold Lake,66.61,11991.0,13839.0,14976.0,15661.0
Alberta,Division No. 12,Cold Lake 149,139.83,438.0,594.0,671.0,671.0
Alberta,Division No. 12,Cold Lake 149A,0.66,49.0,45.0,40.0,68.0
Alberta,Division No. 12,Cold Lake 149B,41.57,105.0,149.0,163.0,181.0
Alberta,Division No. 12,Elk Point,4.91,1487.0,1412.0,1452.0,1399.0
Alberta,Division No. 12,Glendon,1.99,421.0,486.0,493.0,338.0
Alberta,Division No. 12,Heart Lake 167,47.41,165.0,159.0,184.0,211.0
Alberta,Division No. 12,Horseshoe Bay,0.98,214.0,37.0,49.0,81.0
Alberta,Division No. 12,Kehewin 123,79.64,1007.0,1065.0,976.0,1038.0
Alberta,Division No. 12,Lac la Biche County,12528.25,9123.0,8402.0,8330.0,7673.0
Alberta,Division No. 12,Pelican Narrows,0.74,141.0,162.0,151.0,158.0
Alberta,Division No. 12,Puskiakiwenin 122,100.03,411.0,484.0,531.0,564.0
Alberta,Division No. 12,Smoky Lake,4.26,1010.0,1022.0,964.0,1127.0
Alberta,Division No. 12,Smoky Lake County,3396.29,3357.0,3910.0,4107.0,3874.0
Alberta,Division No. 12,St. Paul,8.64,5106.0,5400.0,5827.0,5863.0
Alberta,Division No. 12,St. Paul County No. 19,3280.4,5925.0,5831.0,6036.0,6306.0
Alberta,Division No. 12,Unipouheos 121,88.55,749.0,813.0,909.0,875.0
Alberta,Division No. 12,Vilna,0.96,274.0,249.0,290.0,268.0
Alberta,Division No. 12,Waskatenau,0.59,278.0,255.0,186.0,247.0
Alberta,Division No. 12,White Fish Lake 128,52.11,1237.0,1188.0,1310.0,1093.0
Alberta,Division No. 13,Alberta Beach,2.02,884.0,865.0,1018.0,864.0
Alberta,Division No. 13,Alexis 133,56.6,734.0,817.0,755.0,770.0
Alberta,Division No. 13,Athabasca,17.79,2580.0,2990.0,2965.0,2759.0
Alberta,Division No. 13,Athabasca County,6111.3,7572.0,7662.0,7869.0,6959.0
Alberta,Division No. 13,Barrhead,8.2,4209.0,4432.0,4579.0,4320.0
Alberta,Division No. 13,Barrhead County No. 11,2385.28,5845.0,6096.0,6288.0,5877.0
Alberta,Division No. 13,Birch Cove,0.29,38.0,45.0,45.0,67.0
Alberta,Division No. 13,Bondiss,1.18,131.0,106.0,110.0,124.0
Alberta,Division No. 13,Boyle,7.12,854.0,916.0,845.0,825.0
Alberta,Division No. 13,Castle Island,0.05,22.0,19.0,10.0,15.0
Alberta,Division No. 13,Clyde,1.28,470.0,503.0,430.0,415.0
Alberta,Division No. 13,Island Lake,1.55,351.0,243.0,228.0,174.0
Alberta,Division No. 13,Island Lake South,0.48,105.0,72.0,61.0,81.0
Alberta,Division No. 13,Lac Ste. Anne County,2845.84,9880.0,10260.0,10899.0,10832.0
Alberta,Division No. 13,Larkspur,0.26,56.0,38.0,44.0,53.0
Alberta,Division No. 13,Mayerthorpe,4.39,1474.0,1398.0,1320.0,1259.0
Alberta,Division No. 13,Mewatha Beach,0.79,167.0,79.0,90.0,103.0
Alberta,Division No. 13,Nakamun Park,0.43,88.0,36.0,96.0,78.0
Alberta,Division No. 13,Onoway,3.31,875.0,1039.0,1029.0,966.0
Alberta,Division No. 13,Ross Haven,0.7,198.0,137.0,160.0,126.0
Alberta,Division No. 13,Sandy Beach,2.41,239.0,223.0,278.0,278.0
Alberta,Division No. 13,Silver Sands,2.51,173.0,85.0,160.0,214.0
Alberta,Division No. 13,South Baptiste,0.91,69.0,52.0,66.0,70.0
Alberta,Division No. 13,South View,0.44,115.0,35.0,67.0,72.0
Alberta,Division No. 13,Sunrise Beach,1.66,170.0,149.0,135.0,153.0
Alberta,Division No. 13,Sunset Beach,0.87,88.0,44.0,49.0,55.0
Alberta,Division No. 13,Sunset Point,1.17,242.0,221.0,169.0,257.0
Alberta,Division No. 13,Thorhild County,1997.17,3547.0,3417.0,3254.0,3042.0
Alberta,Division No. 13,Val Quentin,0.29,181.0,157.0,252.0,158.0
Alberta,Division No. 13,West Baptiste,0.54,104.0,52.0,38.0,46.0
Alberta,Division No. 13,West Cove,1.3,169.0,121.0,149.0,222.0
Alberta,Division No. 13,Westlock,13.37,5008.0,4823.0,5101.0,4921.0
Alberta,Division No. 13,Westlock County,3169.66,6910.0,7644.0,7220.0,7186.0
Alberta,Division No. 13,Whispering Hills,1.64,125.0,108.0,142.0,128.0
Alberta,Division No. 13,Whitecourt,29.51,8971.0,9605.0,10209.0,9927.0
Alberta,Division No. 13,Woodlands County,7599.52,4158.0,4306.0,4744.0,4558.0
Alberta,Division No. 13,Yellowstone,0.28,170.0,124.0,137.0,117.0
Alberta,Division No. 14,Edson,29.43,8098.0,8475.0,8414.0,8374.0
Alberta,Division No. 14,Hinton,33.32,9738.0,9640.0,9882.0,9817.0
Alberta,Division No. 14,Improvement District No. 25 Willmore Wilderness,4601.52,0.0,0.0,0.0,0.0
Alberta,Division No. 14,Yellowhead County,22238.56,10045.0,10469.0,10995.0,10426.0
Alberta,Division No. 15,Banff,4.08,6700.0,7584.0,7851.0,8305.0
Alberta,Division No. 15,Bighorn No. 8,2678.8,1264.0,1341.0,1324.0,1598.0
Alberta,Division No. 15,Canmore,68.47,12039.0,12288.0,13992.0,15990.0
Alberta,Division No. 15,Crowsnest Pass,370.15,5749.0,5565.0,5589.0,5695.0
Alberta,Division No. 15,Ghost Lake,0.62,78.0,81.0,82.0,82.0
Alberta,Division No. 15,Improvement District No. 12 Jasper Park,10118.55,24.0,34.0,53.0,0.0
Alberta,Division No. 15,Improvement District No. 9 Banff,6751.09,938.0,1175.0,1028.0,1004.0
Alberta,Division No. 15,Jasper,921.9,4265.0,4051.0,4590.0,4738.0
Alberta,Division No. 15,Kananaskis,4203.24,429.0,249.0,221.0,156.0
Alberta,Division No. 15,Ranchland No. 66,2636.75,86.0,79.0,92.0,110.0
Alberta,Division No. 15,Waiparous,0.41,49.0,42.0,49.0,57.0
Alberta,Division No. 16,Allison Bay 219,17.09,62.0,84.0,127.0,113.0
Alberta,Division No. 16,Dog Head 218,0.38,91.0,111.0,99.0,85.0
Alberta,Division No. 16,Gregoire Lake 176,22.67,81.0,274.0,191.0,203.0
Alberta,Division No. 16,Gregoire Lake 176A,0.81,121.0,0.0,130.0,129.0
Alberta,Division No. 16,Improvement District No. 24 Wood Buffalo,33053.78,422.0,590.0,648.0,706.0
Alberta,Division No. 16,Janvier 194,26.05,271.0,295.0,409.0,360.0
Alberta,Division No. 16,Old Fort 217,13.87,0.0,0.0,0.0,0.0
Alberta,Division No. 16,Wood Buffalo,60843.88,51496.0,65565.0,71594.0,72326.0
Alberta,Division No. 17,Beaver Ranch 163,9.18,15.0,16.0,10.0,15.0
Alberta,Division No. 17,Big Lakes County,13827.58,5989.0,5912.0,5625.0,4986.0
Alberta,Division No. 17,Boyer 164,40.89,178.0,213.0,218.0,123.0
Alberta,Division No. 17,Bushe River 207,114.45,400.0,492.0,503.0,492.0
Alberta,Division No. 17,Carcajou 187,0.53,0.0,0.0,0.0,0.0
Alberta,Division No. 17,Child Lake 164A,26.95,160.0,188.0,216.0,172.0
Alberta,Division No. 17,Clear Hills,15025.54,2714.0,2801.0,3018.0,3006.0
Alberta,Division No. 17,Clear Hills 152C,16.53,0.0,0.0,5.0,0.0
Alberta,Division No. 17,Desmarais,1.54,78.0,129.0,110.0,116.0
Alberta,Division No. 17,Drift Pile River 150,64.95,720.0,800.0,828.0,775.0
Alberta,Division No. 17,Fort Vermilion 173B,0.62,71.0,97.0,96.0,73.0
Alberta,Division No. 17,Fox Lake 162,98.03,1753.0,1875.0,2032.0,2488.0
Alberta,Division No. 17,Hay Lake 209,99.29,951.0,949.0,883.0,957.0
Alberta,Division No. 17,High Level,28.7,3887.0,3641.0,3159.0,3922.0
Alberta,Division No. 17,High Prairie,7.01,2785.0,2600.0,2564.0,2380.0
Alberta,Division No. 17,Hines Creek,4.88,430.0,380.0,346.0,335.0
Alberta,Division No. 17,Jean Baptiste Gambler 183,1.99,214.0,254.0,253.0,210.0
Alberta,Division No. 17,John D'Or Prairie 215,140.04,1025.0,1123.0,1196.0,702.0
Alberta,Division No. 17,Kapawe'no First Nation 150B,0.29,143.0,115.0,154.0,42.0
Alberta,Division No. 17,Kapawe'no First Nation 150D,3.9,0.0,5.0,5.0,5.0
Alberta,Division No. 17,Lesser Slave River No. 124,10041.79,2820.0,2929.0,2803.0,2861.0
Alberta,Division No. 17,Loon Lake 235,70.94,425.0,511.0,540.0,487.0
Alberta,Division No. 17,Mackenzie County,79629.26,10002.0,10927.0,11171.0,12804.0
Alberta,Division No. 17,Manning,3.71,1493.0,1164.0,1183.0,1126.0
Alberta,Division No. 17,Nampa,1.69,360.0,362.0,364.0,367.0
Alberta,Division No. 17,Northern Lights County,20627.02,3772.0,4117.0,4200.0,4152.0
Alberta,Division No. 17,Northern Sunrise County,20915.18,1747.0,1791.0,1921.0,1711.0
Alberta,Division No. 17,Opportunity No. 17,28857.88,2847.0,3074.0,3253.0,3382.0
Alberta,Division No. 17,Rainbow Lake,10.76,965.0,870.0,795.0,495.0
Alberta,Division No. 17,Sawridge 150G,9.4,45.0,48.0,20.0,41.0
Alberta,Division No. 17,Sawridge 150H,11.99,10.0,20.0,10.0,10.0
Alberta,Division No. 17,Slave Lake,14.31,6703.0,6782.0,6651.0,6836.0
Alberta,Division No. 17,Sucker Creek 150A,60.7,594.0,677.0,689.0,703.0
Alberta,Division No. 17,Swan Hills,25.87,1645.0,1465.0,1301.0,1201.0
Alberta,Division No. 17,Swan River 150E,39.47,305.0,312.0,413.0,400.0
Alberta,Division No. 17,Tall Cree 173,37.09,201.0,202.0,250.0,282.0
Alberta,Division No. 17,Tall Cree 173A,53.66,123.0,163.0,224.0,201.0
Alberta,Division No. 17,Upper Hay River 212,14.49,289.0,292.0,294.0,381.0
Alberta,Division No. 17,Utikoomak Lake 155,64.67,786.0,644.0,723.0,734.0
Alberta,Division No. 17,Utikoomak Lake 155A,10.28,103.0,121.0,127.0,145.0
Alberta,Division No. 17,Wabasca 166,84.64,78.0,152.0,160.0,158.0
Alberta,Division No. 17,Wabasca 166A,6.64,648.0,738.0,596.0,559.0
Alberta,Division No. 17,Wabasca 166B,24.95,216.0,250.0,190.0,89.0
Alberta,Division No. 17,Wabasca 166C,32.65,173.0,182.0,188.0,179.0
Alberta,Division No. 17,Wabasca 166D,58.15,863.0,885.0,961.0,640.0
Alberta,Division No. 17,Woodland Cree 226,118.7,439.0,706.0,678.0,655.0
Alberta,Division No. 17,Woodland Cree 228,36.52,117.0,143.0,150.0,161.0
Alberta,Division No. 18,Fox Creek,12.26,2278.0,1969.0,1971.0,1639.0
Alberta,Division No. 18,Greenview No. 16,32925.53,5464.0,5299.0,9154.0,8584.0
Alberta,Division No. 18,Sturgeon Lake 154,148.72,1051.0,1162.0,1447.0,1291.0
Alberta,Division No. 18,Sturgeon Lake 154A,8.77,21.0,24.0,53.0,39.0
Alberta,Division No. 18,Valleyview,9.17,1725.0,1761.0,1863.0,1673.0
Alberta,Division No. 19,Beaverlodge,5.38,2264.0,2365.0,2465.0,2271.0
Alberta,Division No. 19,Berwyn,1.57,516.0,526.0,538.0,577.0
Alberta,Division No. 19,Birch Hills County,2848.75,1470.0,1582.0,1553.0,1516.0
Alberta,Division No. 19,Donnelly,1.26,293.0,305.0,359.0,338.0
Alberta,Division No. 19,Duncan's 151A,20.12,102.0,164.0,145.0,111.0
Alberta,Division No. 19,Fairview,10.67,3297.0,3162.0,2998.0,2817.0
Alberta,Division No. 19,Fairview No. 136,1373.66,1432.0,1673.0,1604.0,1580.0
Alberta,Division No. 19,Falher,2.83,941.0,1075.0,1047.0,1001.0
Alberta,Division No. 19,Girouxville,0.66,282.0,266.0,219.0,278.0
Alberta,Division No. 19,Grande Prairie,132.71,47107.0,55032.0,63166.0,64141.0
Alberta,Division No. 19,Grande Prairie County No. 1,5790.59,17929.0,20347.0,22502.0,23769.0
Alberta,Division No. 19,Grimshaw,7.08,2537.0,2515.0,2718.0,2601.0
Alberta,Division No. 19,Horse Lakes 152B,14.47,335.0,402.0,469.0,489.0
Alberta,Division No. 19,Hythe,4.03,821.0,820.0,827.0,854.0
Alberta,Division No. 19,McLennan,3.58,824.0,809.0,701.0,695.0
Alberta,Division No. 19,Peace No. 135,847.22,1487.0,1344.0,1752.0,1581.0
Alberta,Division No. 19,Peace River,25.34,6315.0,6744.0,6842.0,6619.0
Alberta,Division No. 19,Rycroft,1.85,638.0,628.0,612.0,550.0
Alberta,Division No. 19,Saddle Hills County,5827.7,2458.0,2288.0,2225.0,2338.0
Alberta,Division No. 19,Sexsmith,13.01,1969.0,2418.0,2620.0,2427.0
Alberta,Division No. 19,Smoky River No. 130,2834.18,2442.0,2126.0,2006.0,1684.0
Alberta,Division No. 19,Spirit River,3.11,1148.0,1025.0,995.0,849.0
Alberta,Division No. 19,Spirit River No. 133,679.86,662.0,713.0,700.0,649.0
Alberta,Division No. 19,Wembley,4.74,1443.0,1383.0,1516.0,1432.0
British Columbia,Alberni-Clayoquot,Ahahswinis 1,0.41,148.0,160.0,119.0,150.0
British Columbia,Alberni-Clayoquot,Alberni 2,0.55,5.0,10.0,10.0,0.0
British Columbia,Alberni-Clayoquot,Alberni-Clayoquot A,1619.77,303.0,192.0,243.0,256.0
British Columbia,Alberni-Clayoquot,Alberni-Clayoquot B,92.22,476.0,456.0,443.0,531.0
British Columbia,Alberni-Clayoquot,Alberni-Clayoquot C,3199.27,401.0,433.0,677.0,875.0
British Columbia,Alberni-Clayoquot,Alberni-Clayoquot D,1398.89,2027.0,1701.0,1616.0,1843.0
British Columbia,Alberni-Clayoquot,Alberni-Clayoquot E,21.91,2822.0,2885.0,2754.0,2946.0
British Columbia,Alberni-Clayoquot,Alberni-Clayoquot F,186.53,1882.0,1916.0,1935.0,1977.0
British Columbia,Alberni-Clayoquot,Anacla 12,0.93,95.0,73.0,82.0,104.0
British Columbia,Alberni-Clayoquot,Clakamucus 2,0.1,5.0,0.0,0.0,0.0
British Columbia,Alberni-Clayoquot,Elhlateese 2,2.3,27.0,19.0,5.0,10.0
British Columbia,Alberni-Clayoquot,Esowista 3,0.1,160.0,176.0,94.0,90.0
British Columbia,Alberni-Clayoquot,Ittatsoo 1,0.68,200.0,240.0,274.0,321.0
British Columbia,Alberni-Clayoquot,Klehkoot 2,1.17,10.0,10.0,15.0,15.0
British Columbia,Alberni-Clayoquot,Macoah 1,0.43,19.0,22.0,19.0,27.0
British Columbia,Alberni-Clayoquot,Marktosis 15,1.8,661.0,695.0,622.0,760.0
British Columbia,Alberni-Clayoquot,Numukamis 1,6.69,5.0,10.0,5.0,0.0
British Columbia,Alberni-Clayoquot,Opitsat 1,0.72,174.0,156.0,150.0,153.0
British Columbia,Alberni-Clayoquot,Port Alberni,19.66,17548.0,17743.0,17678.0,18259.0
British Columbia,Alberni-Clayoquot,Sachsa 4,0.07,0.0,0.0,0.0,0.0
British Columbia,Alberni-Clayoquot,Tin Wis 11,0.14,16.0,0.0,0.0,26.0
British Columbia,Alberni-Clayoquot,Tofino,10.56,1655.0,1876.0,1967.0,2516.0
British Columbia,Alberni-Clayoquot,Tsahaheh 1,4.01,425.0,584.0,542.0,596.0
British Columbia,Alberni-Clayoquot,Ucluelet,6.48,1487.0,1627.0,1717.0,2066.0
British Columbia,Bulkley-Nechako,Babine 25,0.48,105.0,81.0,112.0,83.0
British Columbia,Bulkley-Nechako,Babine 6,1.82,78.0,93.0,81.0,75.0
British Columbia,Bulkley-Nechako,Babine Lake 21B,0.02,0.0,0.0,0.0,0.0
British Columbia,Bulkley-Nechako,Binche 2,4.63,110.0,111.0,182.0,118.0
British Columbia,Bulkley-Nechako,Bulkley-Nechako A,3674.43,5290.0,5391.0,5256.0,5587.0
British Columbia,Bulkley-Nechako,Bulkley-Nechako B,3624.72,2154.0,2102.0,1885.0,1706.0
British Columbia,Bulkley-Nechako,Bulkley-Nechako C,25527.99,1355.0,1429.0,1420.0,1266.0
British Columbia,Bulkley-Nechako,Bulkley-Nechako D,4389.75,1682.0,1734.0,1472.0,1607.0
British Columbia,Bulkley-Nechako,Bulkley-Nechako E,15856.11,1771.0,1507.0,1593.0,1512.0
British Columbia,Bulkley-Nechako,Bulkley-Nechako F,5386.26,3137.0,3702.0,3665.0,3517.0
British Columbia,Bulkley-Nechako,Bulkley-Nechako G,14417.38,1059.0,975.0,903.0,836.0
British Columbia,Bulkley-Nechako,Burns Lake,6.54,2107.0,2029.0,1779.0,1659.0
British Columbia,Bulkley-Nechako,Burns Lake 18,0.56,102.0,55.0,48.0,33.0
British Columbia,Bulkley-Nechako,Cheslatta 1,10.81,86.0,84.0,84.0,49.0
British Columbia,Bulkley-Nechako,Duncan Lake 2,0.67,10.0,10.0,5.0,5.0
British Columbia,Bulkley-Nechako,Dzitline Lee 9,5.44,17.0,15.0,10.0,15.0
British Columbia,Bulkley-Nechako,Fort St. James,23.45,1350.0,1691.0,1598.0,1386.0
British Columbia,Bulkley-Nechako,Fraser Lake,4.06,1113.0,1167.0,988.0,965.0
British Columbia,Bulkley-Nechako,Granisle,39.85,364.0,303.0,303.0,337.0
British Columbia,Bulkley-Nechako,Houston,72.88,3163.0,3147.0,2993.0,3052.0
British Columbia,Bulkley-Nechako,Jean Baptiste 28,1.42,5.0,5.0,0.0,5.0
British Columbia,Bulkley-Nechako,Laketown 3,2.44,27.0,10.0,18.0,16.0
British Columbia,Bulkley-Nechako,Mission Lands 17,0.48,5.0,0.0,0.0,0.0
British Columbia,Bulkley-Nechako,Nak'azdli,3.09,495.0,534.0,548.0,528.0
British Columbia,Bulkley-Nechako,Nautley (Fort Fraser) 1,5.07,153.0,201.0,192.0,227.0
British Columbia,Bulkley-Nechako,Nedoats 11,4.0,5.0,0.0,0.0,0.0
British Columbia,Bulkley-Nechako,North Tacla Lake,0.98,131.0,183.0,187.0,243.0
British Columbia,Bulkley-Nechako,Palling 1,0.73,75.0,5.0,63.0,92.0
British Columbia,Bulkley-Nechako,Poison Creek 17A,0.22,5.0,0.0,5.0,10.0
British Columbia,Bulkley-Nechako,Seaspunkut 4,2.39,15.0,15.0,15.0,10.0
British Columbia,Bulkley-Nechako,Skins Lake 16A,0.67,0.0,0.0,5.0,10.0
British Columbia,Bulkley-Nechako,Skins Lake 16B,0.63,26.0,20.0,23.0,0.0
British Columbia,Bulkley-Nechako,Smithers,15.26,5217.0,5404.0,5401.0,5378.0
British Columbia,Bulkley-Nechako,Sowchea 3,1.0,10.0,0.0,0.0,5.0
British Columbia,Bulkley-Nechako,Stellaquo (Stella) 1,8.31,186.0,205.0,202.0,189.0
British Columbia,Bulkley-Nechako,Stony Creek 1,26.37,384.0,332.0,313.0,323.0
British Columbia,Bulkley-Nechako,Tache 1,8.98,375.0,409.0,401.0,400.0
British Columbia,Bulkley-Nechako,Tacla Lake (Ferry Landing) 9,0.72,0.0,0.0,0.0,15.0
British Columbia,Bulkley-Nechako,Tadinlay 15,1.82,0.0,0.0,0.0,0.0
British Columbia,Bulkley-Nechako,Tatla West 11,0.45,0.0,5.0,0.0,0.0
British Columbia,Bulkley-Nechako,Tatla't East 2,0.7,5.0,0.0,5.0,0.0
British Columbia,Bulkley-Nechako,Telkwa,7.04,1295.0,1350.0,1327.0,1474.0
British Columbia,Bulkley-Nechako,Vanderhoof,53.93,4064.0,4480.0,4434.0,4346.0
British Columbia,Bulkley-Nechako,Williams Prairie Meadow 1A,0.68,19.0,10.0,15.0,20.0
British Columbia,Bulkley-Nechako,Woyenne 27,0.15,569.0,301.0,243.0,548.0
British Columbia,Bulkley-Nechako,Ye Koo Che 3,1.99,93.0,88.0,87.0,90.0
British Columbia,Capital,Becher Bay 1,2.64,140.0,324.0,129.0,221.0
British Columbia,Capital,Central Saanich,41.2,15745.0,15936.0,16814.0,17385.0
British Columbia,Capital,Cole Bay 3,2.82,258.0,322.0,332.0,266.0
British Columbia,Capital,Colwood,17.66,14687.0,16093.0,16859.0,18961.0
British Columbia,Capital,East Saanich 2,2.6,1637.0,1709.0,1689.0,1790.0
British Columbia,Capital,Esquimalt,7.08,16840.0,16209.0,17655.0,17533.0
British Columbia,Capital,Galiano Island 9,0.24,0.0,0.0,0.0,0.0
British Columbia,Capital,Gordon River 2,0.95,101.0,96.0,111.0,79.0
British Columbia,Capital,Highlands,38.01,1903.0,2120.0,2225.0,2482.0
British Columbia,Capital,Juan de Fuca (Part 1),221.48,4250.0,4173.0,4670.0,5132.0
British Columbia,Capital,Juan de Fuca (Part 2),1267.72,234.0,178.0,190.0,399.0
British Columbia,Capital,Langford,41.43,22459.0,29228.0,35342.0,46584.0
British Columbia,Capital,Metchosin,69.57,4795.0,4803.0,4708.0,5067.0
British Columbia,Capital,New Songhees 1A,0.71,1643.0,1678.0,1842.0,1839.0
British Columbia,Capital,North Saanich,37.16,10823.0,11089.0,11249.0,12235.0
British Columbia,Capital,Oak Bay,10.52,17908.0,18015.0,18094.0,17990.0
British Columbia,Capital,Saanich,103.59,108265.0,109752.0,114148.0,117735.0
British Columbia,Capital,Saltspring Island,182.94,9640.0,10234.0,10557.0,11635.0
British Columbia,Capital,Sidney,5.11,11315.0,11178.0,11672.0,12318.0
